Rank,Song,Artist,Streams (billions),Date released,Reference
88,"""Save Your Tears""",The Weeknd,2.61,2020-03-20,[88]
89,"""Numb""",Linkin Park,2.597,2003-03-25,[89]
90,"""Good 4 U""",Olivia Rodrigo,2.575,2021-05-14,[90]
91,"""Sweet Child o' Mine""",Guns N' Roses,2.57,1988-06-03,[91]
92,"""Don't Stop Me Now""",Queen,2.554,1979-01-26,[92]
93,"""Lean On""",Major Lazer and DJ Snake with M∅,2.552,2015-03-02,[93]
94,"""Happier""",Marshmello and Bastille,2.548,2018-08-16,[94]
95,"""Uptown Funk""",Mark Ronson and Bruno Mars,2.548,2014-11-10,[95]
96,"""Payphone""",Maroon 5 and Wiz Khalifa,2.534,2012-04-16,[96]
97,"""Sicko Mode""",Travis Scott and Drake,2.526,2018-08-21,[97]
98,"""Dreams""",Fleetwood Mac,2.523,1977-02-04,[98]
99,"""Someone Like You""",Adele,2.513,2011-01-24,[99]
100,"""All I Want For Christmas Is You""",Mariah Carey,2.506,1994-10-28,
